"QTR","CLAIM_TYPE","BRAND","PAYER","METRIC","VALUE"
"2023Q4","TRX","Nurtec","Medicaid","FILL_RATE",0.743308
"2023Q4","TRX","Nurtec","Medicaid","PD_CLAIMS",66260
"2023Q4","TRX","Nurtec","Medicaid","PD_MARKET_SHARE",0.531053
"2023Q4","TRX","Nurtec","Medicaid","RJ_RATE",0.202654
"2023Q4","TRX","Nurtec","Medicaid","RV_RATE",0.054037
"2023Q4","TRX","Nurtec","Medicaid","WD",89142
"2023Q4","TRX","Nurtec","Medicaid","WD_MARKET_SHARE",0.52306
"2023Q4","TRX","Nurtec","Medicare","FILL_RATE",0.735631
"2023Q4","TRX","Nurtec","Medicare","PD_CLAIMS",54742
"2023Q4","TRX","Nurtec","Medicare","PD_MARKET_SHARE",0.481986
"2023Q4","TRX","Nurtec","Medicare","RJ_RATE",0.169684
"2023Q4","TRX","Nurtec","Medicare","RV_RATE",0.094685
"2023Q4","TRX","Nurtec","Medicare","WD",74415
"2023Q4","TRX","Nurtec","Medicare","WD_MARKET_SHARE",0.477561
"2023Q4","TRX","Nurtec","Others","FILL_RATE",0.528224
"2023Q4","TRX","Nurtec","Others","PD_CLAIMS",18837
"2023Q4","TRX","Nurtec","Others","PD_MARKET_SHARE",0.421438
"2023Q4","TRX","Nurtec","Others","RJ_RATE",0.224223
"2023Q4","TRX","Nurtec","Others","RV_RATE",0.247553
"2023Q4","TRX","Nurtec","Others","WD",35661
"2023Q4","TRX","Nurtec","Others","WD_MARKET_SHARE",0.449975
"2023Q4","TRX","Nurtec","Overall","FILL_RATE",0.751251
"2023Q4","TRX","Nurtec","Overall","PD_CLAIMS",421367
"2023Q4","TRX","Nurtec","Overall","PD_MARKET_SHARE",0.460536
"2023Q4","TRX","Nurtec","Overall","RJ_RATE",0.175805
"2023Q4","TRX","Nurtec","Overall","RV_RATE",0.072943
"2023Q4","TRX","Nurtec","Overall","WD",560887
"2023Q4","TRX","Nurtec","Overall","WD_MARKET_SHARE",0.464448
"2024Q1","NBRX","Abbvie","Commercial","FILL_RATE",0.680515
"2024Q1","NBRX","Abbvie","Commercial","PD_CLAIMS",48371
"2024Q1","NBRX","Abbvie","Commercial","PD_MARKET_SHARE",0.622543
"2024Q1","NBRX","Abbvie","Commercial","RJ_RATE",0.240194
"2024Q1","NBRX","Abbvie","Commercial","RV_RATE",0.079291
"2024Q1","NBRX","Abbvie","Commercial","WD",71080
"2024Q1","NBRX","Abbvie","Commercial","WD_MARKET_SHARE",0.538881
"2024Q1","NBRX","Abbvie","Medicaid","FILL_RATE",0.407458
"2024Q1","NBRX","Abbvie","Medicaid","PD_CLAIMS",6316
"2024Q1","NBRX","Abbvie","Medicaid","PD_MARKET_SHARE",0.463934
"2024Q1","NBRX","Abbvie","Medicaid","RJ_RATE",0.552287
"2024Q1","NBRX","Abbvie","Medicaid","RV_RATE",0.040255
"2024Q1","NBRX","Abbvie","Medicaid","WD",15501
"2024Q1","NBRX","Abbvie","Medicaid","WD_MARKET_SHARE",0.488005
"2024Q1","NBRX","Abbvie","Medicare","FILL_RATE",0.479978
"2024Q1","NBRX","Abbvie","Medicare","PD_CLAIMS",8906
"2024Q1","NBRX","Abbvie","Medicare","PD_MARKET_SHARE",0.565353
"2024Q1","NBRX","Abbvie","Medicare","RJ_RATE",0.321746
"2024Q1","NBRX","Abbvie","Medicare","RV_RATE",0.198275
"2024Q1","NBRX","Abbvie","Medicare","WD",18555
"2024Q1","NBRX","Abbvie","Medicare","WD_MARKET_SHARE",0.546523
"2024Q1","NBRX","Abbvie","Others","FILL_RATE",0.406614
"2024Q1","NBRX","Abbvie","Others","PD_CLAIMS",5127
"2024Q1","NBRX","Abbvie","Others","PD_MARKET_SHARE",0.631793
"2024Q1","NBRX","Abbvie","Others","RJ_RATE",0.29471
"2024Q1","NBRX","Abbvie","Others","RV_RATE",0.298676
"2024Q1","NBRX","Abbvie","Others","WD",12609
"2024Q1","NBRX","Abbvie","Others","WD_MARKET_SHARE",0.515874
"2024Q1","NBRX","Abbvie","Overall","FILL_RATE",0.583634
"2024Q1","NBRX","Abbvie","Overall","PD_CLAIMS",68720
"2024Q3","TRX","Abbvie","Medicaid","PD_CLAIMS",77352
"2024Q3","TRX","Abbvie","Medicaid","PD_MARKET_SHARE",0.49517
"2024Q3","TRX","Abbvie","Medicaid","RJ_RATE",0.217107
"2024Q3","TRX","Abbvie","Medicaid","RV_RATE",0.051971
"2024Q3","TRX","Abbvie","Medicaid","WD",105828
"2024Q3","TRX","Abbvie","Medicaid","WD_MARKET_SHARE",0.498688
"2024Q3","TRX","Abbvie","Medicare","FILL_RATE",0.741706
"2024Q3","TRX","Abbvie","Medicare","PD_CLAIMS",93538
"2024Q3","TRX","Abbvie","Medicare","PD_MARKET_SHARE",0.571367
"2024Q3","TRX","Abbvie","Medicare","RJ_RATE",0.146576
"2024Q3","TRX","Abbvie","Medicare","RV_RATE",0.111718
"2024Q3","TRX","Abbvie","Medicare","WD",126112
"2024Q3","TRX","Abbvie","Medicare","WD_MARKET_SHARE",0.568361
"2024Q3","TRX","Abbvie","Others","FILL_RATE",0.612398
"2024Q3","TRX","Abbvie","Others","PD_CLAIMS",39635
"2024Q3","TRX","Abbvie","Others","PD_MARKET_SHARE",0.58395
"2024Q3","TRX","Abbvie","Others","RJ_RATE",0.19564
"2024Q3","TRX","Abbvie","Others","RV_RATE",0.191962
"2024Q3","TRX","Abbvie","Others","WD",64721
"2024Q3","TRX","Abbvie","Others","WD_MARKET_SHARE",0.561517
"2024Q3","TRX","Abbvie","Overall","FILL_RATE",0.772614
"2024Q3","TRX","Abbvie","Overall","PD_CLAIMS",695353
"2024Q3","TRX","Abbvie","Overall","PD_MARKET_SHARE",0.558784
"2024Q3","TRX","Abbvie","Overall","RJ_RATE",0.149752
"2024Q3","TRX","Abbvie","Overall","RV_RATE",0.077633
"2024Q3","TRX","Abbvie","Overall","WD",900000
"2024Q3","TRX","Abbvie","Overall","WD_MARKET_SHARE",0.555198
"2024Q3","TRX","Nurtec","Commercial","FILL_RATE",0.79382
"2024Q3","TRX","Nurtec","Commercial","PD_CLAIMS",371780
"2024Q3","TRX","Nurtec","Commercial","PD_MARKET_SHARE",0.434014
"2024Q3","TRX","Nurtec","Commercial","RJ_RATE",0.152243
"2024Q3","TRX","Nurtec","Commercial","RV_RATE",0.053937
"2024Q3","TRX","Nurtec","Commercial","WD",468343
"2024Q3","TRX","Nurtec","Commercial","WD_MARKET_SHARE",0.437017
"2024Q3","TRX","Nurtec","Medicaid","FILL_RATE",0.741279
"2024Q3","TRX","Nurtec","Medicaid","PD_CLAIMS",78861
"2024Q3","TRX","Nurtec","Medicaid","PD_MARKET_SHARE",0.50483
"2024Q3","TRX","Nurtec","Medicaid","RJ_RATE",0.204982
"2024Q3","TRX","Nurtec","Medicaid","RV_RATE",0.053739
"2024Q3","TRX","Nurtec","Medicaid","WD",106385
"2024Q3","TRX","Nurtec","Medicaid","WD_MARKET_SHARE",0.501312
"2024Q3","TRX","Nurtec","Medicare","FILL_RATE",0.732665
"2024Q3","TRX","Nurtec","Medicare","PD_CLAIMS",70171
"2024Q3","TRX","Nurtec","Medicare","PD_MARKET_SHARE",0.428633
"2024Q3","TRX","Nurtec","Medicare","RJ_RATE",0.159781
"2024Q3","TRX","Nurtec","Medicare","RV_RATE",0.107554
"2024Q3","TRX","Nurtec","Medicare","WD",95775
"2024Q3","TRX","Nurtec","Medicare","WD_MARKET_SHARE",0.431639
"2024Q3","TRX","Nurtec","Others","FILL_RATE",0.558746
"2024Q3","TRX","Nurtec","Others","PD_CLAIMS",28239
"2024Q3","TRX","Nurtec","Others","PD_MARKET_SHARE",0.41605
"2024Q3","TRX","Nurtec","Others","RJ_RATE",0.221686
"2024Q3","TRX","Nurtec","Others","RV_RATE",0.219569
"2024Q3","TRX","Nurtec","Others","WD",50540
"2024Q3","TRX","Nurtec","Others","WD_MARKET_SHARE",0.438483
"2024Q3","TRX","Nurtec","Overall","FILL_RATE",0.761468
"2024Q3","TRX","Nurtec","Overall","PD_CLAIMS",549051
"2024Q3","TRX","Nurtec","Overall","PD_MARKET_SHARE",0.441216
"2024Q3","TRX","Nurtec","Overall","RJ_RATE",0.165893
"2024Q3","TRX","Nurtec","Overall","RV_RATE",0.072639
"2024Q3","TRX","Nurtec","Overall","WD",721043
"2024Q3","TRX","Nurtec","Overall","WD_MARKET_SHARE",0.444802
"2024Q4","NBRX","Abbvie","Commercial","FILL_RATE",0.670341
"2024Q4","NBRX","Abbvie","Commercial","PD_CLAIMS",57166
"2024Q4","NBRX","Abbvie","Commercial","PD_MARKET_SHARE",0.613224
"2024Q4","NBRX","Abbvie","Commercial","RJ_RATE",0.244609
"2024Q2","TRX","Abbvie","Medicare","RJ_RATE",0.15989
"2024Q2","TRX","Abbvie","Medicare","RV_RATE",0.112385
"2024Q2","TRX","Abbvie","Medicare","WD",100200
"2024Q2","TRX","Abbvie","Medicare","WD_MARKET_SHARE",0.552468
"2024Q2","TRX","Abbvie","Others","FILL_RATE",0.610237
"2024Q2","TRX","Abbvie","Others","PD_CLAIMS",32940
"2024Q2","TRX","Abbvie","Others","PD_MARKET_SHARE",0.595208
"2024Q2","TRX","Abbvie","Others","RJ_RATE",0.188203
"2024Q2","TRX","Abbvie","Others","RV_RATE",0.20156
"2024Q2","TRX","Abbvie","Others","WD",53979
"2024Q2","TRX","Abbvie","Others","WD_MARKET_SHARE",0.564912
"2024Q2","TRX","Abbvie","Overall","FILL_RATE",0.771582
"2024Q2","TRX","Abbvie","Overall","PD_CLAIMS",574645
"2024Q2","TRX","Abbvie","Overall","PD_MARKET_SHARE",0.554441
"2024Q2","TRX","Abbvie","Overall","RJ_RATE",0.149531
"2024Q2","TRX","Abbvie","Overall","RV_RATE",0.078887
"2024Q2","TRX","Abbvie","Overall","WD",744762
"2024Q2","TRX","Abbvie","Overall","WD_MARKET_SHARE",0.549429
"2024Q2","TRX","Nurtec","Commercial","FILL_RATE",0.791944
"2024Q2","TRX","Nurtec","Commercial","PD_CLAIMS",313643
"2024Q2","TRX","Nurtec","Commercial","PD_MARKET_SHARE",0.435728
"2024Q2","TRX","Nurtec","Commercial","RJ_RATE",0.155405
"2024Q2","TRX","Nurtec","Commercial","RV_RATE",0.052651
"2024Q2","TRX","Nurtec","Commercial","WD",396042
"2024Q2","TRX","Nurtec","Commercial","WD_MARKET_SHARE",0.440166
"2024Q2","TRX","Nurtec","Medicaid","FILL_RATE",0.736382
"2024Q2","TRX","Nurtec","Medicaid","PD_CLAIMS",67728
"2024Q2","TRX","Nurtec","Medicaid","PD_MARKET_SHARE",0.519606
"2024Q2","TRX","Nurtec","Medicaid","RJ_RATE",0.212778
"2024Q2","TRX","Nurtec","Medicaid","RV_RATE",0.05084
"2024Q2","TRX","Nurtec","Medicaid","WD",91974
"2024Q2","TRX","Nurtec","Medicaid","WD_MARKET_SHARE",0.514275
"2024Q2","TRX","Nurtec","Medicare","FILL_RATE",0.714838
"2024Q2","TRX","Nurtec","Medicare","PD_CLAIMS",58022
"2024Q2","TRX","Nurtec","Medicare","PD_MARKET_SHARE",0.443119
"2024Q2","TRX","Nurtec","Medicare","RJ_RATE",0.1815
"2024Q2","TRX","Nurtec","Medicare","RV_RATE",0.103662
"2024Q2","TRX","Nurtec","Medicare","WD",81168
"2024Q2","TRX","Nurtec","Medicare","WD_MARKET_SHARE",0.447532
"2024Q2","TRX","Nurtec","Others","FILL_RATE",0.538846
"2024Q2","TRX","Nurtec","Others","PD_CLAIMS",22402
"2024Q2","TRX","Nurtec","Others","PD_MARKET_SHARE",0.404792
"2024Q2","TRX","Nurtec","Others","RJ_RATE",0.225333
"2024Q2","TRX","Nurtec","Others","RV_RATE",0.23582
"2024Q2","TRX","Nurtec","Others","WD",41574
"2024Q2","TRX","Nurtec","Others","WD_MARKET_SHARE",0.435088
"2024Q2","TRX","Nurtec","Overall","FILL_RATE",0.756101
"2024Q2","TRX","Nurtec","Overall","PD_CLAIMS",461795
"2024Q2","TRX","Nurtec","Overall","PD_MARKET_SHARE",0.445559
"2024Q2","TRX","Nurtec","Overall","RJ_RATE",0.172273
"2024Q2","TRX","Nurtec","Overall","RV_RATE",0.071626
"2024Q2","TRX","Nurtec","Overall","WD",610758
"2024Q2","TRX","Nurtec","Overall","WD_MARKET_SHARE",0.450571
"2024Q3","NBRX","Abbvie","Commercial","FILL_RATE",0.674984
"2024Q3","NBRX","Abbvie","Commercial","PD_CLAIMS",63136
"2024Q3","NBRX","Abbvie","Commercial","PD_MARKET_SHARE",0.619795
"2024Q3","NBRX","Abbvie","Commercial","RJ_RATE",0.249217
"2024Q3","NBRX","Abbvie","Commercial","RV_RATE",0.075799
"2024Q3","NBRX","Abbvie","Commercial","WD",93537
"2024Q3","NBRX","Abbvie","Commercial","WD_MARKET_SHARE",0.561278
"2024Q3","NBRX","Abbvie","Medicaid","FILL_RATE",0.438867
"2024Q3","NBRX","Abbvie","Medicaid","PD_CLAIMS",8988
"2024Q3","NBRX","Abbvie","Medicaid","PD_MARKET_SHARE",0.495288
"2024Q3","NBRX","Abbvie","Medicaid","RJ_RATE",0.513281
"2024Q3","NBRX","Abbvie","Medicaid","RV_RATE",0.047852
"2024Q3","NBRX","Abbvie","Medicaid","WD",20480
"2024Q2","NBRX","Abbvie","Others","FILL_RATE",0.445475
"2024Q2","NBRX","Abbvie","Others","PD_CLAIMS",6389
"2024Q2","NBRX","Abbvie","Others","PD_MARKET_SHARE",0.61168
"2024Q2","NBRX","Abbvie","Others","RJ_RATE",0.293265
"2024Q2","NBRX","Abbvie","Others","RV_RATE",0.261261
"2024Q2","NBRX","Abbvie","Others","WD",14342
"2024Q2","NBRX","Abbvie","Others","WD_MARKET_SHARE",0.519694
"2024Q2","NBRX","Abbvie","Overall","FILL_RATE",0.62946
"2024Q2","NBRX","Abbvie","Overall","PD_CLAIMS",94098
"2024Q2","NBRX","Abbvie","Overall","PD_MARKET_SHARE",0.59874
"2024Q2","NBRX","Abbvie","Overall","RJ_RATE",0.26761
"2024Q2","NBRX","Abbvie","Overall","RV_RATE",0.10293
"2024Q2","NBRX","Abbvie","Overall","WD",149490
"2024Q2","NBRX","Abbvie","Overall","WD_MARKET_SHARE",0.547242
"2024Q2","NBRX","Nurtec","Commercial","FILL_RATE",0.563323
"2024Q2","NBRX","Nurtec","Commercial","PD_CLAIMS",41291
"2024Q2","NBRX","Nurtec","Commercial","PD_MARKET_SHARE",0.382158
"2024Q2","NBRX","Nurtec","Commercial","RJ_RATE",0.3792
"2024Q2","NBRX","Nurtec","Commercial","RV_RATE",0.057477
"2024Q2","NBRX","Nurtec","Commercial","WD",73299
"2024Q2","NBRX","Nurtec","Commercial","WD_MARKET_SHARE",0.442865
"2024Q2","NBRX","Nurtec","Medicaid","FILL_RATE",0.505704
"2024Q2","NBRX","Nurtec","Medicaid","PD_CLAIMS",9752
"2024Q2","NBRX","Nurtec","Medicaid","PD_MARKET_SHARE",0.503147
"2024Q2","NBRX","Nurtec","Medicaid","RJ_RATE",0.44638
"2024Q2","NBRX","Nurtec","Medicaid","RV_RATE",0.047915
"2024Q2","NBRX","Nurtec","Medicaid","WD",19284
"2024Q2","NBRX","Nurtec","Medicaid","WD_MARKET_SHARE",0.491237
"2024Q2","NBRX","Nurtec","Medicare","FILL_RATE",0.446306
"2024Q2","NBRX","Nurtec","Medicare","PD_CLAIMS",7963
"2024Q2","NBRX","Nurtec","Medicare","PD_MARKET_SHARE",0.41289
"2024Q2","NBRX","Nurtec","Medicare","RJ_RATE",0.39564
"2024Q2","NBRX","Nurtec","Medicare","RV_RATE",0.158054
"2024Q2","NBRX","Nurtec","Medicare","WD",17842
"2024Q2","NBRX","Nurtec","Medicare","WD_MARKET_SHARE",0.43724
"2024Q2","NBRX","Nurtec","Others","FILL_RATE",0.305998
"2024Q2","NBRX","Nurtec","Others","PD_CLAIMS",4056
"2024Q2","NBRX","Nurtec","Others","PD_MARKET_SHARE",0.38832
"2024Q2","NBRX","Nurtec","Others","RJ_RATE",0.36341
"2024Q2","NBRX","Nurtec","Others","RV_RATE",0.330592
"2024Q2","NBRX","Nurtec","Others","WD",13255
"2024Q2","NBRX","Nurtec","Others","WD_MARKET_SHARE",0.480306
"2024Q2","NBRX","Nurtec","Overall","FILL_RATE",0.50988
"2024Q2","NBRX","Nurtec","Overall","PD_CLAIMS",63062
"2024Q2","NBRX","Nurtec","Overall","PD_MARKET_SHARE",0.40126
"2024Q2","NBRX","Nurtec","Overall","RJ_RATE",0.390354
"2024Q2","NBRX","Nurtec","Overall","RV_RATE",0.099766
"2024Q2","NBRX","Nurtec","Overall","WD",123680
"2024Q2","NBRX","Nurtec","Overall","WD_MARKET_SHARE",0.452758
"2024Q2","TRX","Abbvie","Commercial","FILL_RATE",0.806349
"2024Q2","TRX","Abbvie","Commercial","PD_CLAIMS",406170
"2024Q2","TRX","Abbvie","Commercial","PD_MARKET_SHARE",0.564272
"2024Q2","TRX","Abbvie","Commercial","RJ_RATE",0.129663
"2024Q2","TRX","Abbvie","Commercial","RV_RATE",0.063989
"2024Q2","TRX","Abbvie","Commercial","WD",503715
"2024Q2","TRX","Abbvie","Commercial","WD_MARKET_SHARE",0.559834
"2024Q2","TRX","Abbvie","Medicaid","FILL_RATE",0.720829
"2024Q2","TRX","Abbvie","Medicaid","PD_CLAIMS",62617
"2024Q2","TRX","Abbvie","Medicaid","PD_MARKET_SHARE",0.480394
"2024Q2","TRX","Abbvie","Medicaid","RJ_RATE",0.228761
"2024Q2","TRX","Abbvie","Medicaid","RV_RATE",0.05041
"2024Q2","TRX","Abbvie","Medicaid","WD",86868
"2024Q2","TRX","Abbvie","Medicaid","WD_MARKET_SHARE",0.485725
"2024Q2","TRX","Abbvie","Medicare","FILL_RATE",0.727725
"2024Q2","TRX","Abbvie","Medicare","PD_CLAIMS",72918
